name,dataset,category,1_{no repeated values},1_{distinct values occur equally often},1_{regularly spaced intervals},1_{interval width divides range},type,,,,,,,,,,
D2,cube6,real,0,1,1,1,int,,real,,,,,,,,
D3,cube6,real,0,1,1,1,int,,real,,,,,,,,
D4,cube6,real,0,1,1,1,int,,real,,,,,,,,
D5,cube6,real,0,1,1,1,int,,real,,,,,,,,
D6,cube6,real,0,1,1,1,int,,real,,,,,,,,
source,cube6 edges,real,0,0,1,1,int,,,,,,,,,,
destination,cube6 edges,real,0,0,1,1,int,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,Attributes,id,1,1,1,1,int,,,,,,,,,,
x,Attributes,real,1,1,0,0,float,,real,,,,,,,,
y,Attributes,real,0,0,0,0,float,,real,,,,,,,,
citations,Attributes,real,0,0,0,0,int,,real,,,,,,,,
discipline,Attributes,nominal,0,0,1,1,str,,nominal,,,,,,,,
source,Acquaintanceship at T1,real,0,0,0,0,int,,,,,,,,,,
destination,Acquaintanceship at T1,real,0,0,0,0,int,,,,,,,,,,
a knows b,Acquaintanceship at T1,ordinal,0,0,1,1,int,,ordinal,,,,,,,,
b knows a,Acquaintanceship at T1,ordinal,0,0,1,1,int,,ordinal,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
label,flea,id,0,0,0,0,str,,,,,,,,,,
tars1,flea,real,0,0,0,0,int,,real,,,,,,,,
tars2,flea,real,0,0,0,0,int,,real,,,,,,,,
head,flea,real,0,0,0,0,int,,real,,,,,,,,
aede1,flea,real,0,0,0,0,int,,real,,,,,,,,
aede2,flea,real,0,0,1,1,int,,real,,,,,,,,
aede3,flea,real,0,0,0,0,int,,real,,,,,,,,
species,flea,nominal,0,0,1,1,str,,nominal,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
label,laser,id,1,1,1,1,int,,,,,,,,,,
ifront,laser,real,0,0,0,0,float,,real,,,,,,,,
iback,laser,real,0,0,1,1,float,,real,,,,,,,,
power,laser,real,0,0,0,0,float,,real,,,,,,,,
lambda,laser,real,0,0,0,0,float,,real,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
label,morsecodes,id,1,1,0,0,str,,,,,,,,,,
Length,morsecodes,real,0,0,1,0,float,,real,,,,,,,,
Dashes,morsecodes,real,0,0,0,0,float,,real,,,,,,,,
Pos1,morsecodes,real,0,1,1,1,float,,real,,,,,,,,
source,distance,real,0,1,1,1,int,,,,,,,,,,
destination,distance,real,0,1,1,1,int,,,,,,,,,,
D,distance,real,0,0,0,0,int,,real,,,,,,,,
source,edges,real,0,0,0,0,int,,,,,,,,,,
destination,edges,real,0,0,0,0,int,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
label,olive oil,id,0,0,0,0,str,,,,,,,,,,
Region,olive oil,nominal,0,0,1,1,str,,nominal,,,,,,,,
Subregion,olive oil,nominal,0,0,1,1,str,,nominal,,,,,,,,
palmitic,olive oil,real,0,0,0,0,int,,real,,,,,,,,
palmitoleic,olive oil,real,0,0,0,0,int,,real,,,,,,,,
stearic,olive oil,real,0,0,0,0,int,,real,,,,,,,,
oleic,olive oil,real,0,0,0,0,int,,real,,,,,,,,
linoleic,olive oil,real,0,0,0,0,int,,real,,,,,,,,
linolenic,olive oil,real,0,0,0,0,int,,real,,,,,,,,
arachidic,olive oil,real,0,0,0,0,int,,real,,,,,,,,
eicosenoic,olive oil,real,0,0,0,0,int,,real,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,perm4,id,1,1,0,0,int,,,,,,,,,,
Pos1,perm4,real,0,0,0,0,float,,real,,,,,,,,
Pos2,perm4,real,0,0,0,0,float,,real,,,,,,,,
Pos3,perm4,real,0,0,0,0,int,,real,,,,,,,,
source,edges,real,0,0,0,0,int,,,,,,,,,,
destination,edges,real,0,0,0,0,int,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,perm5,id,1,1,0,0,int,,,,,,,,,,
Pos1,perm5,real,0,0,0,0,int,,real,,,,,,,,
Pos2,perm5,real,0,0,0,0,float,,real,,,,,,,,
Pos3,perm5,real,0,0,0,0,float,,real,,,,,,,,
Pos4,perm5,real,1,1,0,0,float,,real,,,,,,,,
source,edges,real,0,0,0,0,int,,,,,,,,,,
destination,edges,real,0,0,0,0,int,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,pigs,id,1,1,1,1,int,,,,,,,,,,
TIME,pigs,time,1,1,1,1,float,,time,,,,,,,,
YEAR,pigs,time,0,1,1,1,float,,time,,,,,,,,
QUARTER,pigs,time,0,1,1,1,float,,time,,,,,,,,
Q1,pigs,real,0,0,1,1,float,,real,,,,,,,,
Q2,pigs,real,0,0,1,1,float,,real,,,,,,,,
Q3,pigs,real,0,0,1,1,float,,real,,,,,,,,
GILTS,pigs,real,0,0,0,0,float,,real,,,,,,,,
PROFIT,pigs,real,1,1,0,0,float,,real,,,,,,,,
S/HERDSZ,pigs,real,0,0,0,0,float,,real,,,,,,,,
PRODUCTION,pigs,real,0,0,0,0,float,,real,,,,,,,,
HERDSZ,pigs,real,0,0,0,0,float,,real,,,,,,,,
source,edges,real,1,1,1,1,int,,,,,,,,,,
destination,edges,real,1,1,1,1,int,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
label,places rated,id,1,1,0,0,str,,,,,,,,,,
Climate,places rated,real,0,0,0,0,float,,real,,,,,,,,
HousingCost,places rated,real,0,0,0,0,float,,real,,,,,,,,
HlthCare,places rated,real,0,0,0,0,float,,real,,,,,,,,
Crime,places rated,real,0,0,0,0,float,,real,,,,,,,,
Transp,places rated,real,0,0,0,0,float,,real,,,,,,,,
Educ,places rated,real,0,0,0,0,float,,real,,,,,,,,
Arts,places rated,real,0,0,0,0,float,,real,,,,,,,,
Recreat,places rated,real,0,0,0,0,float,,real,,,,,,,,
Econ,places rated,real,0,0,0,0,float,,real,,,,,,,,
CaseNum,places rated,real,1,1,1,1,float,,real,,,,,,,,
Long,places rated,real,0,0,0,0,float,,real,,,,,,,,
Lat,places rated,real,0,0,0,0,float,,real,,,,,,,,
Pop,places rated,real,1,1,0,0,float,,real,,,,,,,,
StNum,places rated,real,0,0,1,1,float,,real,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,prim7,id,1,1,1,1,int,,,,,,,,,,
X1,prim7,real,0,0,0,0,float,,real,,,,,,,,
X2,prim7,real,0,0,0,0,float,,real,,,,,,,,
X3,prim7,real,0,0,0,0,float,,real,,,,,,,,
X4,prim7,real,0,0,0,0,float,,real,,,,,,,,
X5,prim7,real,0,0,0,0,float,,real,,,,,,,,
X6,prim7,real,0,0,0,0,float,,real,,,,,,,,
X7,prim7,real,0,0,0,0,float,,real,,,,,,,,
Cluster,prim7,real,0,0,0,0,float,,real,,,,,,,,
source,model,real,0,0,0,0,int,,,,,,,,,,
destination,model,real,0,0,0,0,int,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
label,rat cns gene expression,id,1,1,0,0,str,,,,,,,,,,
E11,rat cns gene expression,real,0,0,0,0,float,,real,,,,,,,,
E13,rat cns gene expression,real,0,0,0,0,float,,real,,,,,,,,
E15,rat cns gene expression,real,0,0,0,0,float,,real,,,,,,,,
E18,rat cns gene expression,real,0,0,0,0,float,,real,,,,,,,,
E21,rat cns gene expression,real,0,0,0,0,float,,real,,,,,,,,
P0,rat cns gene expression,real,0,0,0,0,float,,real,,,,,,,,
P7,rat cns gene expression,real,0,0,0,0,float,,real,,,,,,,,
P14,rat cns gene expression,real,0,0,0,0,float,,real,,,,,,,,
A,rat cns gene expression,real,0,0,0,0,float,,real,,,,,,,,
Class1,rat cns gene expression,real,0,0,1,1,int,,real,,,,,,,,
Class2,rat cns gene expression,real,0,0,1,1,int,,real,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,river flow,id,1,1,1,1,int,,,,,,,,,,
Time,river flow,time,1,1,1,1,float,,time,,,,,,,,
Flow,river flow,real,0,0,0,0,float,,real,,,,,,,,
Lag1,river flow,real,0,0,0,0,float,,real,,,,,,,,
source,no name,real,1,1,1,1,int,,,,,,,,,,
destination,no name,real,1,1,1,1,int,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
label,roos,id,0,0,0,0,str,,,,,,,,,,
ANIMAL,roos,nominal,0,0,0,0,float,,nominal,,,,,,,,
SEX,roos,nominal,0,0,1,1,float,,nominal,,,,,,,,
SPECIES,roos,nominal,0,0,1,1,float,,nominal,,,,,,,,
BASILAR,roos,real,0,0,0,0,float,,real,,,,,,,,
OCCIPITONASAL,roos,real,0,0,0,0,float,,real,,,,,,,,
PALATILAR,roos,real,0,0,0,0,float,,real,,,,,,,,
PALATEWIDTH,roos,real,0,0,0,0,float,,real,,,,,,,,
NASALLENGTH,roos,real,0,0,0,0,float,,real,,,,,,,,
NASALWIDTH,roos,real,0,0,0,0,float,,real,,,,,,,,
SQUAMOSAL,roos,real,0,0,0,0,float,,real,,,,,,,,
INTERLAC,roos,real,0,0,0,0,float,,real,,,,,,,,
ZYGOMATIC,roos,real,0,0,0,0,float,,real,,,,,,,,
POSTORBITAL,roos,real,0,0,0,0,float,,real,,,,,,,,
ROSTRAL,roos,real,0,0,0,0,float,,real,,,,,,,,
SOPD,roos,real,0,0,0,0,float,,real,,,,,,,,
CREST,roos,real,0,0,0,0,float,,real,,,,,,,,
INCFOR,roos,real,0,0,0,0,float,,real,,,,,,,,
MANDLENGTH,roos,real,0,0,0,0,float,,real,,,,,,,,
MANDWIDTH,roos,real,0,0,0,0,float,,real,,,,,,,,
MANDDEPTH,roos,real,0,0,0,0,float,,real,,,,,,,,
RAMUS,roos,real,0,0,0,0,float,,real,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,Country,id,1,1,1,1,int,,,,,,,,,,
Infected in,Country,nominal,0,0,1,1,str,,nominal,,,,,,,,
Traveled to,Country,nominal,0,0,1,1,str,,nominal,,,,,,,,
source,edges,real,0,0,0,0,int,,,,,,,,,,
destination,edges,real,1,1,1,1,int,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
label,SAT scores,nominal,1,1,0,0,str,,,,,,,,,,
STATE,SAT scores,nominal,1,1,1,1,float,,nominal,,,,,,,,
SAT,SAT scores,real,0,0,0,0,float,,real,,,,,,,,
EXPEND,SAT scores,real,1,1,0,0,float,,real,,,,,,,,
PERPUPIL,SAT scores,real,0,0,0,0,float,,real,,,,,,,,
ENROLL,SAT scores,real,1,1,0,0,float,,real,,,,,,,,
TEACHERS,SAT scores,real,1,1,0,0,float,,real,,,,,,,,
RATIO,SAT scores,real,0,0,0,0,float,,real,,,,,,,,
SALARY,SAT scores,real,1,1,0,0,float,,real,,,,,,,,
ATTEND,SAT scores,real,1,1,0,0,float,,real,,,,,,,,
COMPUTER,SAT scores,real,1,1,0,0,float,,real,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
label,no name,id,0,0,0,0,str,,,,,,,,,,
age,no name,real,0,0,0,0,int,,real,,,,,,,,
month,no name,time,0,0,1,1,str,,time,,,,,,,,
year,no name,time,0,0,0,0,int,,time,,,,,,,,
julian date,no name,time,0,0,0,0,int,,time,,,,,,,,
place,no name,nominal,0,0,0,0,str,,nominal,,,,,,,,
cause,no name,nominal,0,0,0,0,str,,nominal,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
label,sleep,nominal,1,1,0,0,str,,,,,,,,,,
BodyWgt,sleep,real,0,0,0,0,float,,real,,,,,,,,
BrainWgt,sleep,real,0,0,0,0,float,,real,,,,,,,,
NonD,sleep,real,0,0,0,0,float,,real,,,,,,,,
Dream,sleep,real,0,0,0,0,float,,real,,,,,,,,
Sleep,sleep,real,0,0,0,0,float,,real,,,,,,,,
Span,sleep,real,0,0,0,0,float,,real,,,,,,,,
Gest,sleep,real,0,0,0,0,float,,real,,,,,,,,
Pred,sleep,ordinal,0,0,1,1,float,,ordinal,,,,,,,,
Exp,sleep,ordinal,0,0,1,1,float,,ordinal,,,,,,,,
Danger,sleep,ordinal,0,0,1,1,float,,ordinal,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,People,id,0,1,0,0,str,,,,,,,,,,
citizenship,People,nominal,0,0,1,1,str,,nominal,,,,,,,,
hours,People,nominal,0,0,1,1,str,,nominal,,,,,,,,
source,Contacts,nominal,0,0,0,0,str,,,,,,,,,,
destination,Contacts,nominal,0,0,0,0,str,,,,,,,,,,
interactions,Contacts,real,0,0,0,0,float,,real,,,,,,,,
center triangle,Contacts,ordinal,0,0,1,1,str,,ordinal,,,,,,,,
log10(interactions),Contacts,real,0,0,0,0,float,,real,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,tao-nomiss,id,1,1,1,1,int,,,,,,,,,,
Year,tao-nomiss,time,0,1,1,1,float,,time,,,,,,,,
Latitude,tao-nomiss,real,0,0,0,0,float,,real,,,,,,,,
Longitude,tao-nomiss,real,0,1,1,1,float,,real,,,,,,,,
Time,tao-nomiss,time,0,1,1,1,float,,time,,,,,,,,
Month,tao-nomiss,time,0,0,1,1,float,,time,,,,,,,,
Sea Surface Temp,tao-nomiss,real,0,0,0,0,float,,real,,,,,,,,
Air Temp,tao-nomiss,real,0,0,0,0,float,,real,,,,,,,,
Humidity,tao-nomiss,real,0,0,0,0,float,,real,,,,,,,,
UWind,tao-nomiss,real,0,0,0,0,float,,real,,,,,,,,
VWind,tao-nomiss,real,0,0,0,0,float,,real,,,,,,,,
source,time,real,1,1,0,0,int,,,,,,,,,,
destination,time,real,1,1,0,0,int,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
label,tao,id,1,1,0,0,int,,,,,,,,,,
Year,tao,time,0,1,1,1,float,,time,,,,,,,,
Latitude,tao,real,0,0,0,0,float,,real,,,,,,,,
Longitude,tao,real,0,1,1,1,float,,real,,,,,,,,
Sea Surface Temp,tao,real,0,0,0,0,float,,real,,,,,,,,
Air Temp,tao,real,0,0,0,0,float,,real,,,,,,,,
Humidity,tao,real,0,0,0,0,float,,real,,,,,,,,
UWind,tao,real,0,0,0,0,float,,real,,,,,,,,
VWind,tao,real,0,0,0,0,float,,real,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
label,tips,id,1,1,1,1,int,,,,,,,,,,
OBS,tips,real,1,1,1,1,int,,real,,,,,,,,
TOTBILL,tips,real,0,0,0,0,float,,real,,,,,,,,
TIP,tips,real,0,0,0,0,float,,real,,,,,,,,
SEX,tips,nominal,0,0,0,0,str,,nominal,,,,,,,,
SMOKER,tips,ordinal,0,0,0,0,str,,ordinal,,,,,,,,
DAY,tips,ordinal,0,0,1,1,str,,ordinal,,,,,,,,
TIME,tips,ordinal,0,0,1,1,str,,ordinal,,,,,,,,
SIZE,tips,real,0,0,1,1,int,,real,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,id,Customers,id,1,1,0,0,int
,,,,,,,,,,avgusage,Customers,real,1,1,1,1,int
,,,,,,,,,,foo,Customers,real,1,1,1,1,int
,,,,,,,,,,fraudp,Customers,ordinal,0,1,1,1,str
,,,,,,,,,,bizres,Customers,nominal,0,1,1,1,str
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,id,Calls,id,1,1,0,0,str
,,,,,,,,,,nseconds,Calls,real,0,0,0,0,int
,,,,,,,,,,whatever,Calls,real,0,0,0,0,int
,,,,,,,,,,fraudp,Calls,ordinal,0,0,1,1,str
,,,,,,,,,,bizres,Calls,nominal,0,0,1,1,str
,,,,,,,,,,name,Calls,nominal,1,1,0,0,str
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,id,Calls,id,1,1,0,0,str
,,,,,,,,,,nseconds,Calls,real,1,1,1,1,int
,,,,,,,,,,whatever,Calls,real,1,1,1,1,int
,,,,,,,,,,day,Calls,ordinal,1,1,0,0,str
,,,,,,,,,,fraudp,Calls,ordinal,0,0,1,1,str
,,,,,,,,,,bizres,Calls,nominal,0,0,1,1,str
,,,,,,,,,,name,Calls,nominal,1,1,0,0,str
,,,,,,,,,,month,Calls,time,1,1,0,0,int
,,,,,,,,,,id,foo,id,1,1,0,0,str
,,,,,,,,,,X,foo,real,0,0,1,1,float
,,,,,,,,,,Y,foo,real,0,0,1,1,float
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,id,Calls,id,1,1,0,0,str
,,,,,,,,,,nseconds,Calls,real,1,1,1,1,int
,,,,,,,,,,whatever,Calls,real,1,1,1,1,int
,,,,,,,,,,fraudp,Calls,ordinal,0,0,1,1,str
,,,,,,,,,,bizres,Calls,nominal,0,0,1,1,str
,,,,,,,,,,name,Calls,nominal,1,1,0,0,str
,,,,,,,,,,id,foo,id,1,1,0,0,str
,,,,,,,,,,X,foo,real,0,0,1,1,float
,,,,,,,,,,Y,foo,real,0,0,1,1,float
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,id,Calls,id,1,1,0,0,str
,,,,,,,,,,nseconds,Calls,real,1,1,1,1,int
,,,,,,,,,,whatever,Calls,real,1,1,1,1,int
,,,,,,,,,,fraudp,Calls,ordinal,0,0,1,1,str
,,,,,,,,,,bizres,Calls,nominal,0,0,1,1,str
,,,,,,,,,,name,Calls,nominal,1,1,0,0,str
,,,,,,,,,,source,foo,nominal,1,1,0,0,str
,,,,,,,,,,destination,foo,nominal,1,1,0,0,str
,,,,,,,,,,X,foo,real,0,0,1,1,float
,,,,,,,,,,Y,foo,real,0,0,1,1,float
